area_code,area,country_group_code,country_group,m49_code,iso2_code,iso3_code,wb_group2021,domain_code,domain,element_code,element,item_code_fao,item,year_code,year,unit,value,flag,flag_description,population,agriculture_production_value_per_capita
1,Armenia,5300,Asia,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2014,2014,1000 US$,1679601,A,"Aggregate, may include official, semi-official, estimated or calculated data",2912403,576.71
1,Armenia,5300,Asia,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2015,2015,1000 US$,1782267,A,"Aggregate, may include official, semi-official, estimated or calculated data",2925559,609.21
1,Armenia,5300,Asia,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2016,2016,1000 US$,1674252,A,"Aggregate, may include official, semi-official, estimated or calculated data",2936147,570.22
1,Armenia,5300,Asia,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2017,2017,1000 US$,1608874,A,"Aggregate, may include official, semi-official, estimated or calculated data",2944789,546.35
1,Armenia,5300,Asia,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2018,2018,1000 US$,1455442,A,"Aggregate, may include official, semi-official, estimated or calculated data",2951741,493.08
1,Armenia,5802,Land Locked Developing Countries,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2014,2014,1000 US$,1679601,A,"Aggregate, may include official, semi-official, estimated or calculated data",2912403,576.71
1,Armenia,5802,Land Locked Developing Countries,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2015,2015,1000 US$,1782267,A,"Aggregate, may include official, semi-official, estimated or calculated data",2925559,609.21
1,Armenia,5802,Land Locked Developing Countries,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2016,2016,1000 US$,1674252,A,"Aggregate, may include official, semi-official, estimated or calculated data",2936147,570.22
1,Armenia,5802,Land Locked Developing Countries,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2017,2017,1000 US$,1608874,A,"Aggregate, may include official, semi-official, estimated or calculated data",2944789,546.35
1,Armenia,5802,Land Locked Developing Countries,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2018,2018,1000 US$,1455442,A,"Aggregate, may include official, semi-official, estimated or calculated data",2951741,493.08
1,Armenia,5849,Non-Annex I countries,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2014,2014,1000 US$,1679601,A,"Aggregate, may include official, semi-official, estimated or calculated data",2912403,576.71
1,Armenia,5849,Non-Annex I countries,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2015,2015,1000 US$,1782267,A,"Aggregate, may include official, semi-official, estimated or calculated data",2925559,609.21
1,Armenia,5849,Non-Annex I countries,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2016,2016,1000 US$,1674252,A,"Aggregate, may include official, semi-official, estimated or calculated data",2936147,570.22
1,Armenia,5849,Non-Annex I countries,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2017,2017,1000 US$,1608874,A,"Aggregate, may include official, semi-official, estimated or calculated data",2944789,546.35
1,Armenia,5849,Non-Annex I countries,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2018,2018,1000 US$,1455442,A,"Aggregate, may include official, semi-official, estimated or calculated data",2951741,493.08
1,Armenia,9011,Upper-middle-income economies,51,AM,ARM,Europe & Central Asia (excluding high income),QV,Value of Agricultural Production,58,Gross Production Value (constant 2014-2016 thousand US$),2051,Agriculture,2014,2014,1000 US$,1679601,A,"Aggregate, may include official, semi-official, estimated or calculated data",2912403,576.71
